date,v,ma,std,zscore,pos
"2025-05-09, 01:00:00",1490297.09410336,1503420.7908220068,39693.49851443627,-0.33062585082727525,1
"2025-05-09, 02:00:00",1490253.23636495,1502667.0070429938,38250.72422096731,-0.3245368795197651,1
"2025-05-09, 03:00:00",1490287.89557657,1501913.202241513,36735.01492376646,-0.31646391566923715,1
"2025-05-09, 04:00:00",1490261.35861411,1501159.2095426673,35137.47173816869,-0.3101489774154512,1
"2025-05-09, 05:00:00",1490150.19776704,1500406.188349132,33453.977057795695,-0.30657014454136594,1
"2025-05-09, 06:00:00",1490079.00743892,1499653.428345992,31666.230184722637,-0.30235430145048336,1
"2025-05-09, 07:00:00",1487049.05269894,1498888.2479567733,29760.65207049613,-0.39781370481362105,1
"2025-05-09, 08:00:00",1486449.65104591,1498120.5882380197,27704.950855367704,-0.42125818064205145,1
"2025-05-09, 09:00:00",1486415.92258869,1497352.1809276552,25456.83552550497,-0.4296000705982606,1
"2025-05-09, 10:00:00",1486648.19502048,1496586.184590101,22973.947367432786,-0.43257649243632984,1
"2025-05-09, 11:00:00",1486913.77778874,1495821.3879494055,20158.65586399095,-0.44187520342450476,1
"2025-05-09, 12:00:00",1487003.75071777,1495057.0982625082,16846.3368162213,-0.47804740179381555,1
"2025-05-09, 13:00:00",1484002.97971171,1494279.9971046927,12662.675858502556,-0.8115991839183075,1
"2025-05-09, 14:00:00",1484049.78333045,1493503.6202219657,5987.391649705898,-1.578957490108405,1
"2025-05-09, 15:00:00",1483387.13023658,1493386.3268006362,5918.335732432258,-1.6895284445018877,1
"2025-05-09, 16:00:00",1483413.57548031,1493269.1964106187,5846.050842824594,-1.68585959911817,1
"2025-05-09, 17:00:00",1483513.05042577,1493152.3919709064,5769.431497595351,-1.6707610705065146,1
"2025-05-09, 18:00:00",1483518.09658508,1493035.5799360392,5689.245429232391,-1.67289027505415,1
"2025-05-09, 19:00:00",1483388.70275326,1492917.7443311324,5604.954079589348,-1.7001105526578209,1
"2025-05-09, 20:00:00",1483419.71583478,1492800.0362903313,5516.597002434764,-1.700381675770652,1
"2025-05-09, 21:00:00",1483450.90100251,1492682.3163295493,5423.517349981363,-1.7021085637480329,1
"2025-05-09, 22:00:00",1483466.44314695,1492564.329752617,5324.9431295165,-1.7085415532866037,1
"2025-05-09, 23:00:00",1483467.3358169,1492446.6916312743,5223.034338412573,-1.7191837603547833,1
"2025-05-10, 00:00:00",1483567.17971729,1492329.3048371053,5114.982493118139,-1.7130313019847458,1
"2025-05-10, 01:00:00",1483599.5193023,1492216.9216303364,5019.048043513514,-1.7169395975743642,1
